2025-07-11 15:02:19,949 - WebSocket - Timestamp: 2025-07-11 15:02:00+02:00, Open: 117818.23, High: 117898.6, Low: 117818.23, Close: 117898.59, Volume: 3.08449, Closed: False
2025-07-11 15:02:21,950 - WebSocket - Timestamp: 2025-07-11 15:02:00+02:00, Open: 117818.23, High: 117898.6, Low: 117818.23, Close: 117898.59, Volume: 3.25376, Closed: False
2025-07-11 15:02:23,950 - WebSocket - Timestamp: 2025-07-11 15:02:00+02:00, Open: 117818.23, High: 117898.6, Low: 117818.23, Close: 117898.6, Volume: 3.52967, Closed: False
2025-07-11 15:02:25,949 - WebSocket - Timestamp: 2025-07-11 15:02:00+02:00, Open: 117818.23, High: 117898.6, Low: 117818.23, Close: 117898.6, Volume: 4.03421, Closed: False
2025-07-11 15:02:27,950 - WebSocket - Timestamp: 2025-07-11 15:02:00+02:00, Open: 117818.23, High: 117898.6, Low: 117818.23, Close: 117898.59, Volume: 4.19545, Closed: False
2025-07-11 15:02:29,959 - WebSocket - Timestamp: 2025-07-11 15:02:00+02:00, Open: 117818.23, High: 117933.05, Low: 117818.23, Close: 117933.05, Volume: 11.14152, Closed: False
2025-07-11 15:02:31,949 - WebSocket - Timestamp: 2025-07-11 15:02:00+02:00, Open: 117818.23, High: 117933.05, Low: 117818.23, Close: 117933.04, Volume: 11.2136, Closed: False
2025-07-11 15:02:33,958 - WebSocket - Timestamp: 2025-07-11 15:02:00+02:00, Open: 117818.23, High: 117933.05, Low: 117818.23, Close: 117922.37, Volume: 11.94673, Closed: False
2025-07-11 15:02:35,949 - WebSocket - Timestamp: 2025-07-11 15:02:00+02:00, Open: 117818.23, High: 117933.05, Low: 117818.23, Close: 117922.36, Volume: 11.98846, Closed: False
2025-07-11 15:02:37,958 - WebSocket - Timestamp: 2025-07-11 15:02:00+02:00, Open: 117818.23, High: 117933.05, Low: 117818.23, Close: 117922.37, Volume: 12.00914, Closed: False
2025-07-11 15:02:39,960 - WebSocket - Timestamp: 2025-07-11 15:02:00+02:00, Open: 117818.23, High: 117933.05, Low: 117818.23, Close: 117904.82, Volume: 12.24128, Closed: False
2025-07-11 15:02:41,949 - WebSocket - Timestamp: 2025-07-11 15:02:00+02:00, Open: 117818.23, High: 117936.59, Low: 117818.23, Close: 117936.59, Volume: 13.70002, Closed: False
2025-07-11 15:02:43,952 - WebSocket - Timestamp: 2025-07-11 15:02:00+02:00, Open: 117818.23, High: 117937.09, Low: 117818.23, Close: 117931.68, Volume: 15.29573, Closed: False
2025-07-11 15:02:45,949 - WebSocket - Timestamp: 2025-07-11 15:02:00+02:00, Open: 117818.23, High: 117937.09, Low: 117818.23, Close: 117931.67, Volume: 15.33068, Closed: False
2025-07-11 15:02:47,951 - WebSocket - Timestamp: 2025-07-11 15:02:00+02:00, Open: 117818.23, High: 117937.09, Low: 117818.23, Close: 117931.67, Volume: 15.44629, Closed: False
2025-07-11 15:02:49,952 - WebSocket - Timestamp: 2025-07-11 15:02:00+02:00, Open: 117818.23, High: 117937.09, Low: 117818.23, Close: 117931.67, Volume: 15.59358, Closed: False
2025-07-11 15:02:51,955 - WebSocket - Timestamp: 2025-07-11 15:02:00+02:00, Open: 117818.23, High: 117937.09, Low: 117818.23, Close: 117931.67, Volume: 15.64835, Closed: False
2025-07-11 15:02:53,956 - WebSocket - Timestamp: 2025-07-11 15:02:00+02:00, Open: 117818.23, High: 117945.93, Low: 117818.23, Close: 117945.92, Volume: 16.93972, Closed: False
2025-07-11 15:02:55,950 - WebSocket - Timestamp: 2025-07-11 15:02:00+02:00, Open: 117818.23, High: 117945.93, Low: 117818.23, Close: 117945.92, Volume: 16.95389, Closed: False
2025-07-11 15:02:57,950 - WebSocket - Timestamp: 2025-07-11 15:02:00+02:00, Open: 117818.23, High: 117956.7, Low: 117818.23, Close: 117956.69, Volume: 18.91762, Closed: False
2025-07-11 15:02:59,960 - WebSocket - Timestamp: 2025-07-11 15:02:00+02:00, Open: 117818.23, High: 117956.7, Low: 117818.23, Close: 117956.7, Volume: 18.93166, Closed: True
2025-07-11 15:02:59,962 - WebSocket - Timestamp: 2025-07-11 15:03:00+02:00, Open: 117956.7, High: 117956.7, Low: 117956.7, Close: 117956.7, Volume: 0.0, Closed: False
2025-07-11 15:03:01,964 - WebSocket - Timestamp: 2025-07-11 15:03:00+02:00, Open: 117956.69, High: 117956.7, Low: 117956.69, Close: 117956.7, Volume: 0.05372, Closed: False
2025-07-11 15:03:03,950 - WebSocket - Timestamp: 2025-07-11 15:03:00+02:00, Open: 117956.69, High: 117968.08, Low: 117956.69, Close: 117968.08, Volume: 0.27481, Closed: False
2025-07-11 15:03:05,948 - WebSocket - Timestamp: 2025-07-11 15:03:00+02:00, Open: 117956.69, High: 117968.08, Low: 117956.69, Close: 117960.0, Volume: 1.91921, Closed: False
2025-07-11 15:03:07,949 - WebSocket - Timestamp: 2025-07-11 15:03:00+02:00, Open: 117956.69, High: 117968.08, Low: 117956.69, Close: 117960.0, Volume: 2.06905, Closed: False
2025-07-11 15:03:09,955 - WebSocket - Timestamp: 2025-07-11 15:03:00+02:00, Open: 117956.69, High: 117968.08, Low: 117956.69, Close: 117960.01, Volume: 2.75983, Closed: False
2025-07-11 15:03:11,950 - WebSocket - Timestamp: 2025-07-11 15:03:00+02:00, Open: 117956.69, High: 117968.08, Low: 117956.69, Close: 117968.07, Volume: 4.54568, Closed: False
2025-07-11 15:03:13,952 - WebSocket - Timestamp: 2025-07-11 15:03:00+02:00, Open: 117956.69, High: 117968.08, Low: 117956.69, Close: 117968.07, Volume: 4.60655, Closed: False
2025-07-11 15:03:15,951 - WebSocket - Timestamp: 2025-07-11 15:03:00+02:00, Open: 117956.69, High: 117968.08, Low: 117956.69, Close: 117968.08, Volume: 4.67521, Closed: False
2025-07-11 15:03:17,945 - WebSocket - Timestamp: 2025-07-11 15:03:00+02:00, Open: 117956.69, High: 117968.08, Low: 117956.69, Close: 117968.08, Volume: 5.01652, Closed: False
2025-07-11 15:03:19,949 - WebSocket - Timestamp: 2025-07-11 15:03:00+02:00, Open: 117956.69, High: 117980.54, Low: 117956.69, Close: 117980.53, Volume: 11.23888, Closed: False
2025-07-11 15:03:21,952 - WebSocket - Timestamp: 2025-07-11 15:03:00+02:00, Open: 117956.69, High: 118000.0, Low: 117956.69, Close: 117999.99, Volume: 17.79971, Closed: False
2025-07-11 15:03:23,947 - WebSocket - Timestamp: 2025-07-11 15:03:00+02:00, Open: 117956.69, High: 118000.0, Low: 117956.69, Close: 117999.99, Volume: 17.86287, Closed: False
2025-07-11 15:03:25,948 - WebSocket - Timestamp: 2025-07-11 15:03:00+02:00, Open: 117956.69, High: 118000.0, Low: 117956.69, Close: 118000.0, Volume: 18.22561, Closed: False
2025-07-11 15:03:27,946 - WebSocket - Timestamp: 2025-07-11 15:03:00+02:00, Open: 117956.69, High: 118000.0, Low: 117956.69, Close: 117999.99, Volume: 18.37301, Closed: False
2025-07-11 15:03:29,943 - WebSocket - Timestamp: 2025-07-11 15:03:00+02:00, Open: 117956.69, High: 118000.0, Low: 117956.69, Close: 117982.98, Volume: 19.71823, Closed: False
2025-07-11 15:03:31,953 - WebSocket - Timestamp: 2025-07-11 15:03:00+02:00, Open: 117956.69, High: 118000.0, Low: 117956.69, Close: 117977.32, Volume: 20.1443, Closed: False
2025-07-11 15:03:33,945 - WebSocket - Timestamp: 2025-07-11 15:03:00+02:00, Open: 117956.69, High: 118000.0, Low: 117956.69, Close: 117977.33, Volume: 20.30407, Closed: False
2025-07-11 15:03:35,947 - WebSocket - Timestamp: 2025-07-11 15:03:00+02:00, Open: 117956.69, High: 118000.0, Low: 117956.69, Close: 117975.8, Volume: 20.56238, Closed: False
2025-07-11 15:03:37,956 - WebSocket - Timestamp: 2025-07-11 15:03:00+02:00, Open: 117956.69, High: 118000.0, Low: 117956.69, Close: 117975.8, Volume: 20.76017, Closed: False
2025-07-11 15:03:39,949 - WebSocket - Timestamp: 2025-07-11 15:03:00+02:00, Open: 117956.69, High: 118000.0, Low: 117956.69, Close: 117977.32, Volume: 20.96931, Closed: False
2025-07-11 15:03:41,951 - WebSocket - Timestamp: 2025-07-11 15:03:00+02:00, Open: 117956.69, High: 118000.0, Low: 117956.69, Close: 117998.88, Volume: 21.20444, Closed: False
2025-07-11 15:03:43,951 - WebSocket - Timestamp: 2025-07-11 15:03:00+02:00, Open: 117956.69, High: 118000.0, Low: 117956.69, Close: 117998.88, Volume: 21.2182, Closed: False
2025-07-11 15:03:45,951 - WebSocket - Timestamp: 2025-07-11 15:03:00+02:00, Open: 117956.69, High: 118000.0, Low: 117956.69, Close: 118000.0, Volume: 21.482, Closed: False
